id,yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
18742,1906,male,86,5,1619,4.6,10831,11641,0.1495,0.8609,0.1391,0.8449
18743,1906,male,86,95,1619,4.6,10831,11641,0.1495,0.8609,0.1391,0.8449
18744,1906,male,86,median,1619,4.6,10831,11641,0.1495,0.8609,0.1391,0.8449
18745,1906,male,87,5,1741,4.3,9151,10022,0.1903,0.8262,0.1738,0.8323
18746,1906,male,87,95,1741,4.3,9151,10022,0.1903,0.8262,0.1738,0.8323
18747,1906,male,87,median,1741,4.3,9151,10022,0.1903,0.8262,0.1738,0.8323
18748,1906,male,88,5,1328,4.1,7616,8280,0.1743,0.8397,0.1603,0.8254
18749,1906,male,88,95,1328,4.1,7616,8280,0.1743,0.8397,0.1603,0.8254
18750,1906,male,88,median,1328,4.1,7616,8280,0.1743,0.8397,0.1603,0.8254
18751,1906,male,89,5,1332,3.8,6287,6953,0.2119,0.8084,0.1916,0.8092
18752,1906,male,89,95,1332,3.8,6287,6953,0.2119,0.8084,0.1916,0.8092
18753,1906,male,89,median,1332,3.8,6287,6953,0.2119,0.8084,0.1916,0.8092
18754,1906,male,90,5,1067,3.6,5087,5620,0.2097,0.8102,0.1898,0.8061
18755,1906,male,90,95,1067,3.6,5087,5620,0.2097,0.8102,0.1898,0.8061
18756,1906,male,90,median,1067,3.6,5087,5620,0.2097,0.8102,0.1898,0.8061
18757,1906,male,91,5,906,3.3,4101,4554,0.2209,0.8011,0.1989,0.7763
18758,1906,male,91,95,906,3.3,4101,4554,0.2209,0.8011,0.1989,0.7763
18759,1906,male,91,median,906,3.3,4101,4554,0.2209,0.8011,0.1989,0.7763
18760,1906,male,92,5,929,3,3183,3648,0.2919,0.7452,0.2548,0.7445
18761,1906,male,92,95,929,3,3183,3648,0.2919,0.7452,0.2548,0.7445
18762,1906,male,92,median,929,3,3183,3648,0.2919,0.7452,0.2548,0.7445
18763,1906,male,93,5,697,2.8,2370,2719,0.2942,0.7436,0.2564,0.7266
18764,1906,male,93,95,697,2.8,2370,2719,0.2942,0.7436,0.2564,0.7266
18765,1906,male,93,median,697,2.8,2370,2719,0.2942,0.7436,0.2564,0.7266
18766,1906,male,94,5,599,2.6,1722,2022,0.3476,0.7039,0.2961,0.7092
18767,1906,male,94,95,599,2.6,1722,2022,0.3476,0.7039,0.2961,0.7092
18768,1906,male,94,median,599,2.6,1722,2022,0.3476,0.7039,0.2961,0.7092
18769,1906,male,95,5,403,2.5,1221,1423,0.33,0.7167,0.2833,0.7022
18770,1906,male,95,95,403,2.5,1221,1423,0.33,0.7167,0.2833,0.7022
18771,1906,male,95,median,403,2.5,1221,1423,0.33,0.7167,0.2833,0.7022
18772,1906,male,96,5,324,2.4,858,1020,0.3783,0.6819,0.3181,0.703
18773,1906,male,96,95,324,2.4,858,1020,0.3783,0.6819,0.3181,0.703
18774,1906,male,96,median,324,2.4,858,1020,0.3783,0.6819,0.3181,0.703
18775,1906,male,97,5,185,2.2,603,695,0.3069,0.7339,0.2661,0.6763
18776,1906,male,97,95,185,2.2,603,695,0.3069,0.7339,0.2661,0.6763
18777,1906,male,97,median,185,2.2,603,695,0.3069,0.7339,0.2661,0.6763
18778,1906,male,98,5,205,1.8,408,510,0.5034,0.5979,0.4021,0.6028
18779,1906,male,98,95,205,1.8,408,510,0.5034,0.5979,0.4021,0.6028
18780,1906,male,98,median,205,1.8,408,510,0.5034,0.5979,0.4021,0.6028
18781,1906,male,99,5,119,1.7,246,305,0.4828,0.6111,0.3889,0.569
18782,1906,male,99,95,119,1.7,246,305,0.4828,0.6111,0.3889,0.569
18783,1906,male,99,median,119,1.7,246,305,0.4828,0.6111,0.3889,0.569
18784,1906,male,100,5,93,1.5,140,186,0.6667,0.5,0.5,0.4902
18785,1906,male,100,95,93,1.5,140,186,0.6667,0.5,0.5,0.4902
18786,1906,male,100,median,93,1.5,140,186,0.6667,0.5,0.5,0.4902
18787,1907,female,0,5,8130,66,94867,100000,0.0857,0.9187,0.0813,0.9628
18788,1907,female,0,95,8130,66,94867,100000,0.0857,0.9187,0.0813,0.9628
18789,1907,female,0,median,8130,66,94867,100000,0.0857,0.9187,0.0813,0.9628
18790,1907,female,1,5,1056,70.8,91342,91870,0.0116,0.9885,0.0115,0.9911
18791,1907,female,1,95,1056,70.8,91342,91870,0.0116,0.9885,0.0115,0.9911
18792,1907,female,1,median,1056,70.8,91342,91870,0.0116,0.9885,0.0115,0.9911
18793,1907,female,2,5,561,70.6,90533,90814,0.0062,0.9938,0.0062,0.9948
18794,1907,female,2,95,561,70.6,90533,90814,0.0062,0.9938,0.0062,0.9948
18795,1907,female,2,median,561,70.6,90533,90814,0.0062,0.9938,0.0062,0.9948
18796,1907,female,3,5,383,70,90061,90252,0.0043,0.9958,0.0042,0.9963
18797,1907,female,3,95,383,70,90061,90252,0.0043,0.9958,0.0042,0.9963
18798,1907,female,3,median,383,70,90061,90252,0.0043,0.9958,0.0042,0.9963
18799,1907,female,4,5,291,69.3,89724,89869,0.0032,0.9968,0.0032,0.9971
18800,1907,female,4,95,291,69.3,89724,89869,0.0032,0.9968,0.0032,0.9971
18801,1907,female,4,median,291,69.3,89724,89869,0.0032,0.9968,0.0032,0.9971
18802,1907,female,5,5,232,68.6,89462,89578,0.0026,0.9974,0.0026,0.9975
18803,1907,female,5,95,232,68.6,89462,89578,0.0026,0.9974,0.0026,0.9975
18804,1907,female,5,median,232,68.6,89462,89578,0.0026,0.9974,0.0026,0.9975
